id,constituency,state,party,first_votes,second_votes
294,Ravensburg,Baden-Württemberg,other,13443,14639
295,Zollernalb – Sigmaringen,Baden-Württemberg,other,10120,11772
296,Saarbrücken,Saarland,other,9327,15211
297,Saarlouis,Saarland,other,11421,16235
298,St. Wendel,Saarland,other,9689,13843
299,Homburg,Saarland,other,10687,14758
1,Flensburg – Schleswig,Schleswig-Holstein,spd,38932,45508
2,Nordfriesland – Dithmarschen Nord,Schleswig-Holstein,spd,40034,37939
3,Steinburg – Dithmarschen Süd,Schleswig-Holstein,spd,39364,37466
4,Rendsburg-Eckernförde,Schleswig-Holstein,spd,49477,43149
5,Kiel,Schleswig-Holstein,spd,45767,40354
6,Plön – Neumünster,Schleswig-Holstein,spd,41498,38672
7,Pinneberg,Schleswig-Holstein,spd,58644,55057
8,Segeberg – Stormarn-Mitte,Schleswig-Holstein,spd,63369,56659
9,Ostholstein – Stormarn-Nord,Schleswig-Holstein,spd,47718,42522
10,Herzogtum Lauenburg – Stormarn-Süd,Schleswig-Holstein,spd,60592,56417
11,Lübeck,Schleswig-Holstein,spd,40376,36136
12,Schwerin – Ludwigslust-Parchim I – Nordwestmecklenburg I,Mecklenburg-Vorpommern,spd,45107,49269
13,Ludwigslust-Parchim II – Nordwestmecklenburg II – Landkreis Rostock I,Mecklenburg-Vorpommern,spd,50705,46844
14,Rostock – Landkreis Rostock II,Mecklenburg-Vorpommern,spd,43935,47281
15,Vorpommern-Rügen – Vorpommern-Greifswald I,Mecklenburg-Vorpommern,spd,40426,41582
16,Mecklenburgische Seenplatte I – Vorpommern-Greifswald II,Mecklenburg-Vorpommern,spd,37395,40337
17,Mecklenburgische Seenplatte II – Landkreis Rostock III,Mecklenburg-Vorpommern,spd,43740,42068
18,Hamburg-Mitte,Hamburg,spd,59162,51073
19,Hamburg-Altona,Hamburg,spd,43458,38911
20,Hamburg-Eimsbüttel,Hamburg,spd,47366,44920
21,Hamburg-Nord,Hamburg,spd,56540,51491
22,Hamburg-Wandsbek,Hamburg,spd,66594,59288
23,Hamburg-Bergedorf – Harburg,Hamburg,spd,61666,52658
24,Aurich – Emden,Niedersachsen,spd,71495,58964
25,Unterems,Niedersachsen,spd,49440,59230
26,Friesland – Wilhelmshaven – Wittmund,Niedersachsen,spd,60392,50448
27,Oldenburg – Ammerland,Niedersachsen,spd,65757,55227
28,Delmenhorst – Wesermarsch – Oldenburg-Land,Niedersachsen,spd,59361,55599
29,Cuxhaven – Stade II,Niedersachsen,spd,51417,48858
30,Stade I – Rotenburg II,Niedersachsen,spd,47757,48300
31,Mittelems,Niedersachsen,spd,52310,55482
32,Cloppenburg – Vechta,Niedersachsen,spd,34126,40513
33,Diepholz – Nienburg I,Niedersachsen,spd,46453,48193
34,Osterholz – Verden,Niedersachsen,spd,48548,49408
35,Rotenburg I – Heidekreis,Niedersachsen,spd,59127,43196
36,Harburg,Niedersachsen,spd,49771,46764
37,Lüchow-Dannenberg – Lüneburg,Niedersachsen,spd,38780,41254
38,Osnabrück-Land,Niedersachsen,spd,44707,48352
39,Stadt Osnabrück,Niedersachsen,spd,44875,44924
40,Nienburg II – Schaumburg,Niedersachsen,spd,50014,49543
41,Stadt Hannover I,Niedersachsen,spd,44570,39511
42,Stadt Hannover II,Niedersachsen,spd,46930,40116
43,Hannover-Land I,Niedersachsen,spd,58295,55462
44,Celle – Uelzen,Niedersachsen,spd,50631,48329
45,Gifhorn – Peine,Niedersachsen,spd,72114,58846
46,Hameln-Pyrmont – Holzminden,Niedersachsen,spd,56893,48438
47,Hannover-Land II,Niedersachsen,spd,73087,62023
48,Hildesheim,Niedersachsen,spd,61804,55433
49,Salzgitter – Wolfenbüttel,Niedersachsen,spd,56137,53385
50,Braunschweig,Niedersachsen,spd,51223,42376
51,Helmstedt – Wolfsburg,Niedersachsen,spd,54349,45414
52,Goslar – Northeim – Osterode,Niedersachsen,spd,52141,53883
53,Göttingen,Niedersachsen,spd,51386,51181
54,Bremen I,Bremen,spd,55946,53524
55,Bremen II – Bremerhaven,Bremen,spd,52274,49464
56,Prignitz – Ostprignitz-Ruppin – Havelland I,Brandenburg,spd,39853,41162
57,Uckermark – Barnim I,Brandenburg,spd,38241,40532
58,Oberhavel – Havelland II,Brandenburg,spd,50687,55184
59,Märkisch-Oderland – Barnim II,Brandenburg,spd,43111,48705
60,Brandenburg an der Havel – Potsdam-Mittelmark I – Havelland III – Teltow-Fläming I,Brandenburg,spd,46642,48426
61,Potsdam – Potsdam-Mittelmark II – Teltow-Fläming II,Brandenburg,spd,64270,50964
62,Dahme-Spreewald – Teltow-Fläming III – Oberspreewald-Lausitz I,Brandenburg,spd,50673,54623
63,Frankfurt (Oder) – Oder-Spree,Brandenburg,spd,39349,41434
64,Cottbus – Spree-Neiße,Brandenburg,spd,34883,36093
65,Elbe-Elster – Oberspreewald-Lausitz II,Brandenburg,spd,29998,33411
66,Altmark,Sachsen-Anhalt,spd,29594,29540
67,Börde – Jerichower Land,Sachsen-Anhalt,spd,38520,39042
68,Harz,Sachsen-Anhalt,spd,34812,37330
69,Magdeburg,Sachsen-Anhalt,spd,39215,40997
70,Dessau – Wittenberg,Sachsen-Anhalt,spd,22178,29843
71,Anhalt,Sachsen-Anhalt,spd,28384,33053
72,Halle,Sachsen-Anhalt,spd,42334,34686
73,Burgenland – Saalekreis,Sachsen-Anhalt,spd,27165,28460
74,Mansfeld,Sachsen-Anhalt,spd,30972,32097
75,Berlin-Mitte,Berlin,spd,34072,32133
76,Berlin-Pankow,Berlin,spd,39093,40139
77,Berlin-Reinickendorf,Berlin,spd,32375,31403
78,Berlin-Spandau – Charlottenburg Nord,Berlin,spd,40344,34215
79,Berlin-Steglitz-Zehlendorf,Berlin,spd,43472,42913
80,Berlin-Charlottenburg-Wilmersdorf,Berlin,spd,42869,36986
81,Berlin-Tempelhof-Schöneberg,Berlin,spd,47450,43366
82,Berlin-Neukölln,Berlin,spd,35517,33074
83,Berlin-Friedrichshain-Kreuzberg – Prenzlauer Berg Ost,Berlin,spd,29646,32774
84,Berlin-Treptow-Köpenick,Berlin,spd,24132,36555
85,Berlin-Marzahn-Hellersdorf,Berlin,spd,19802,31313
86,Berlin-Lichtenberg,Berlin,spd,28031,33174
87,Aachen I,Nordrhein-Westfalen,spd,33087,30588
88,Aachen II,Nordrhein-Westfalen,spd,58186,53405
89,Heinsberg,Nordrhein-Westfalen,spd,37249,38822
90,Düren,Nordrhein-Westfalen,spd,46733,44058
91,Rhein-Erft-Kreis I,Nordrhein-Westfalen,spd,58848,54702
92,Euskirchen – Rhein-Erft-Kreis II,Nordrhein-Westfalen,spd,50790,50951
93,Köln I,Nordrhein-Westfalen,spd,38985,36933
94,Köln II,Nordrhein-Westfalen,spd,40103,43193
95,Köln III,Nordrhein-Westfalen,spd,46149,39901
96,Bonn,Nordrhein-Westfalen,spd,46251,41641
97,Rhein-Sieg-Kreis I,Nordrhein-Westfalen,spd,53213,49530
98,Rhein-Sieg-Kreis II,Nordrhein-Westfalen,spd,41004,41752
99,Oberbergischer Kreis,Nordrhein-Westfalen,spd,42461,42413
100,Rheinisch-Bergischer Kreis,Nordrhein-Westfalen,spd,39869,44354
101,Leverkusen – Köln IV,Nordrhein-Westfalen,spd,69662,44586
102,Wuppertal I,Nordrhein-Westfalen,spd,54065,42420
103,Solingen – Remscheid – Wuppertal II,Nordrhein-Westfalen,spd,52864,48207
104,Mettmann I,Nordrhein-Westfalen,spd,39326,42385
105,Mettmann II,Nordrhein-Westfalen,spd,37643,34411
106,Düsseldorf I,Nordrhein-Westfalen,spd,38964,38204
107,Düsseldorf II,Nordrhein-Westfalen,spd,41169,35671
108,Neuss I,Nordrhein-Westfalen,spd,51392,43759
109,Mönchengladbach,Nordrhein-Westfalen,spd,37544,34869
110,Krefeld I – Neuss II,Nordrhein-Westfalen,spd,39253,39405
111,Viersen,Nordrhein-Westfalen,spd,47805,46375
112,Kleve,Nordrhein-Westfalen,spd,48142,47837
113,Wesel I,Nordrhein-Westfalen,spd,54488,53277
114,Krefeld II – Wesel II,Nordrhein-Westfalen,spd,45867,41484
115,Duisburg I,Nordrhein-Westfalen,spd,47314,41308
116,Duisburg II,Nordrhein-Westfalen,spd,38162,35840
117,Oberhausen – Wesel III,Nordrhein-Westfalen,spd,55800,53034
118,Mülheim – Essen I,Nordrhein-Westfalen,spd,50173,46086
119,Essen II,Nordrhein-Westfalen,spd,39410,35363
120,Essen III,Nordrhein-Westfalen,spd,45609,42628
121,Recklinghausen I,Nordrhein-Westfalen,spd,49436,42553
122,Recklinghausen II,Nordrhein-Westfalen,spd,51050,48561
123,Gelsenkirchen,Nordrhein-Westfalen,spd,44965,41326
124,Steinfurt I – Borken I,Nordrhein-Westfalen,spd,44046,44787
125,Bottrop – Recklinghausen III,Nordrhein-Westfalen,spd,57427,51515
126,Borken II,Nordrhein-Westfalen,spd,40851,42301
127,Coesfeld – Steinfurt II,Nordrhein-Westfalen,spd,40145,42647
128,Steinfurt III,Nordrhein-Westfalen,spd,48068,50554
129,Münster,Nordrhein-Westfalen,spd,47047,45844
130,Warendorf,Nordrhein-Westfalen,spd,50697,47661
131,Gütersloh I,Nordrhein-Westfalen,spd,45876,47371
132,Bielefeld – Gütersloh II,Nordrhein-Westfalen,spd,55230,50000
133,Herford – Minden-Lübbecke II,Nordrhein-Westfalen,spd,61551,53357
134,Minden-Lübbecke I,Nordrhein-Westfalen,spd,58167,49347
135,Lippe I,Nordrhein-Westfalen,spd,52337,53106
136,Höxter – Lippe II,Nordrhein-Westfalen,spd,37210,36254
137,Paderborn – Gütersloh III,Nordrhein-Westfalen,spd,33513,39089
138,Hagen – Ennepe-Ruhr-Kreis I,Nordrhein-Westfalen,spd,47573,47388
139,Ennepe-Ruhr-Kreis II,Nordrhein-Westfalen,spd,47993,45664
140,Bochum I,Nordrhein-Westfalen,spd,58258,50184
141,Herne – Bochum II,Nordrhein-Westfalen,spd,52832,46573
142,Dortmund I,Nordrhein-Westfalen,spd,51037,50117
143,Dortmund II,Nordrhein-Westfalen,spd,55695,51080
144,Unna I,Nordrhein-Westfalen,spd,59869,53490
145,Hamm – Unna II,Nordrhein-Westfalen,spd,67774,59227
146,Soest,Nordrhein-Westfalen,spd,54612,51061
147,Hochsauerlandkreis,Nordrhein-Westfalen,spd,50057,44641
148,Siegen-Wittgenstein,Nordrhein-Westfalen,spd,48897,50328
149,Olpe – Märkischer Kreis I,Nordrhein-Westfalen,spd,45368,42362
150,Märkischer Kreis II,Nordrhein-Westfalen,spd,43349,42232
151,Nordsachsen,Sachsen,spd,22257,24732
152,Leipzig I,Sachsen,spd,33583,34739
153,Leipzig II,Sachsen,spd,29730,37628
154,Leipzig-Land,Sachsen,spd,31985,34099
155,Meißen,Sachsen,spd,22770,26047
156,Bautzen I,Sachsen,spd,21006,26674
157,Görlitz,Sachsen,spd,18927,25440
158,Sächsische Schweiz-Osterzgebirge,Sachsen,spd,17505,23544
159,Dresden I,Sachsen,spd,26272,34125
160,Dresden II – Bautzen II,Sachsen,spd,28689,30621
161,Mittelsachsen,Sachsen,spd,25727,26998
162,Chemnitz,Sachsen,spd,34959,32617
163,Chemnitzer Umland – Erzgebirgskreis II,Sachsen,spd,23181,27517
164,Erzgebirgskreis I,Sachsen,spd,23650,28847
165,Zwickau,Sachsen,spd,24091,30721
166,Vogtlandkreis,Sachsen,spd,26410,30432
167,Waldeck,Hessen,spd,51603,49070
168,Kassel,Hessen,spd,57922,51826
169,Werra-Meißner – Hersfeld-Rotenburg,Hessen,spd,56385,48578
170,Schwalm-Eder,Hessen,spd,54790,50100
171,Marburg,Hessen,spd,51628,42097
172,Lahn-Dill,Hessen,spd,49919,44546
173,Gießen,Hessen,spd,48363,43899
174,Fulda,Hessen,spd,35163,36341
175,Main-Kinzig – Wetterau II – Schotten,Hessen,spd,41156,36942
176,Hochtaunus,Hessen,spd,38424,35171
177,Wetterau I,Hessen,spd,40605,35909
178,Rheingau-Taunus – Limburg,Hessen,spd,48441,43707
179,Wiesbaden,Hessen,spd,34747,33546
180,Hanau,Hessen,spd,40290,35739
181,Main-Taunus,Hessen,spd,35463,34446
182,Frankfurt am Main I,Hessen,spd,41604,32498
183,Frankfurt am Main II,Hessen,spd,40430,38777
184,Groß-Gerau,Hessen,spd,42598,37972
185,Offenbach,Hessen,spd,41030,38797
186,Darmstadt,Hessen,spd,51046,49273
187,Odenwald,Hessen,spd,57173,49518
188,Bergstraße,Hessen,spd,41122,41122
189,Eichsfeld – Nordhausen – Kyffhäuserkreis,Thüringen,spd,34010,37281
190,Eisenach – Wartburgkreis – Unstrut-Hainich-Kreis,Thüringen,spd,36728,38353
191,Jena – Sömmerda – Weimarer Land I,Thüringen,spd,30673,34195
192,Gotha – Ilm-Kreis,Thüringen,spd,33086,33433
193,Erfurt – Weimar – Weimarer Land II,Thüringen,spd,40183,39374
194,Gera – Greiz – Altenburger Land,Thüringen,spd,36757,36327
195,Saalfeld-Rudolstadt – Saale-Holzland-Kreis – Saale-Orla-Kreis,Thüringen,spd,30782,35020
196,Suhl – Schmalkalden-Meiningen – Hildburghausen – Sonneberg,Thüringen,spd,56786,42446
197,Neuwied,Rheinland-Pfalz,spd,54320,54018
198,Ahrweiler,Rheinland-Pfalz,spd,44321,42302
199,Koblenz,Rheinland-Pfalz,spd,43417,42816
200,Mosel/Rhein-Hunsrück,Rheinland-Pfalz,spd,35569,38015
201,Kreuznach,Rheinland-Pfalz,spd,44976,44258
202,Bitburg,Rheinland-Pfalz,spd,33631,34310
203,Trier,Rheinland-Pfalz,spd,47925,44101
204,Montabaur,Rheinland-Pfalz,spd,50977,49344
205,Mainz,Rheinland-Pfalz,spd,49847,53866
206,Worms,Rheinland-Pfalz,spd,49748,49656
207,Ludwigshafen/Frankenthal,Rheinland-Pfalz,spd,50108,45896
208,Neustadt – Speyer,Rheinland-Pfalz,spd,48158,47121
209,Kaiserslautern,Rheinland-Pfalz,spd,56523,54460
210,Pirmasens,Rheinland-Pfalz,spd,39622,38171
211,Südpfalz,Rheinland-Pfalz,spd,47900,47027
212,Altötting,Bayern,spd,14622,18310
213,Erding – Ebersberg,Bayern,spd,24204,25690
214,Freising,Bayern,spd,25950,29084
215,Fürstenfeldbruck,Bayern,spd,36828,31144
216,Ingolstadt,Bayern,spd,25954,31597
217,München-Nord,Bayern,spd,38172,33241
218,München-Ost,Bayern,spd,38225,36108
219,München-Süd,Bayern,spd,33902,33118
220,München-West/Mitte,Bayern,spd,39165,37512
221,München-Land,Bayern,spd,30237,34189
222,Rosenheim,Bayern,spd,22869,27388
223,Bad Tölz-Wolfratshausen – Miesbach,Bayern,spd,15418,18265
224,Starnberg – Landsberg am Lech,Bayern,spd,23998,28592
225,Traunstein,Bayern,spd,27637,25183
226,Weilheim,Bayern,spd,19681,19924
227,Deggendorf,Bayern,spd,19525,19873
228,Landshut,Bayern,spd,22466,30928
229,Passau,Bayern,spd,28340,23890
230,Rottal-Inn,Bayern,spd,15794,19107
231,Straubing,Bayern,spd,16311,19938
232,Amberg,Bayern,spd,27475,31542
233,Regensburg,Bayern,spd,32846,34563
234,Schwandorf,Bayern,spd,39619,31209
235,Weiden,Bayern,spd,29573,29464
236,Bamberg,Bayern,spd,28122,25695
237,Bayreuth,Bayern,spd,24842,26586
238,Coburg,Bayern,spd,32056,31082
239,Hof,Bayern,spd,29763,30426
240,Kulmbach,Bayern,spd,22102,27009
241,Ansbach,Bayern,spd,33818,37642
242,Erlangen,Bayern,spd,32009,30128
243,Fürth,Bayern,spd,47154,42328
244,Nürnberg-Nord,Bayern,spd,31615,30232
245,Nürnberg-Süd,Bayern,spd,31081,29181
246,Roth,Bayern,spd,31804,38783
247,Aschaffenburg,Bayern,spd,24893,30229
248,Bad Kissingen,Bayern,spd,32844,30540
249,Main-Spessart,Bayern,spd,33700,32770
250,Schweinfurt,Bayern,spd,29038,30483
251,Würzburg,Bayern,spd,33121,37078
252,Augsburg-Stadt,Bayern,spd,27452,29199
253,Augsburg-Land,Bayern,spd,29438,33408
254,Donau-Ries,Bayern,spd,29871,25786
255,Neu-Ulm,Bayern,spd,29946,31870
256,Oberallgäu,Bayern,spd,28399,29905
257,Ostallgäu,Bayern,spd,24286,30907
258,Stuttgart I,Baden-Württemberg,spd,20012,31002
259,Stuttgart II,Baden-Württemberg,spd,27220,30194
260,Böblingen,Baden-Württemberg,spd,40844,39955
261,Esslingen,Baden-Württemberg,spd,28501,29852
262,Nürtingen,Baden-Württemberg,spd,34602,33983
263,Göppingen,Baden-Württemberg,spd,31823,31421
264,Waiblingen,Baden-Württemberg,spd,39642,37753
265,Ludwigsburg,Baden-Württemberg,spd,31392,37274
266,Neckar-Zaber,Baden-Württemberg,spd,41707,41373
267,Heilbronn,Baden-Württemberg,spd,43886,40959
268,Schwäbisch Hall – Hohenlohe,Baden-Württemberg,spd,33568,37272
269,Backnang – Schwäbisch Gmünd,Baden-Württemberg,spd,32890,29326
270,Aalen – Heidenheim,Baden-Württemberg,spd,36465,39425
271,Karlsruhe-Stadt,Baden-Württemberg,spd,33629,33827
272,Karlsruhe-Land,Baden-Württemberg,spd,37948,38474
273,Rastatt,Baden-Württemberg,spd,34847,36443
274,Heidelberg,Baden-Württemberg,spd,35603,40276
275,Mannheim,Baden-Württemberg,spd,37099,35657
276,Odenwald – Tauber,Baden-Württemberg,spd,33083,35578
277,Rhein-Neckar,Baden-Württemberg,spd,41055,35711
278,Bruchsal – Schwetzingen,Baden-Württemberg,spd,32834,34433
279,Pforzheim,Baden-Württemberg,spd,33956,34261
280,Calw,Baden-Württemberg,spd,26113,28572
281,Freiburg,Baden-Württemberg,spd,47197,38183
282,Lörrach – Müllheim,Baden-Württemberg,spd,37494,41834
283,Emmendingen – Lahr,Baden-Württemberg,spd,46318,39728
284,Offenburg,Baden-Württemberg,spd,29002,33042
285,Rottweil – Tuttlingen,Baden-Württemberg,spd,23988,27523
286,Schwarzwald-Baar,Baden-Württemberg,spd,21995,25805
287,Konstanz,Baden-Württemberg,spd,31486,32655
288,Waldshut,Baden-Württemberg,spd,34359,30700
289,Reutlingen,Baden-Württemberg,spd,27236,31535
290,Tübingen,Baden-Württemberg,spd,28981,32577
291,Ulm,Baden-Württemberg,spd,32177,36415
292,Biberach,Baden-Württemberg,spd,24467,23064
293,Bodensee,Baden-Württemberg,spd,28500,26988
294,Ravensburg,Baden-Württemberg,spd,20128,27752
295,Zollernalb – Sigmaringen,Baden-Württemberg,spd,24968,26716
296,Saarbrücken,Saarland,spd,51749,53532
297,Saarlouis,Saarland,spd,57353,56920
298,St. Wendel,Saarland,spd,48132,51223
299,Homburg,Saarland,spd,51089,52092
